Date,Year,Passengers,,,,,
1/1,2019,"2,201,765",,,,,
1/2,2019,"2,424,225",,,,,
1/3,2019,"2,279,384",,,,,
1/4,2019,"2,230,078",,,,,
1/5,2019,"2,049,460",,,,,
1/6,2019,"2,299,648",,,,,
1/7,2019,"2,119,879",,,,,
1/8,2019,"1,805,496",,,,,
1/9,2019,"1,811,152",,,,,
1/10,2019,"2,029,644",,,,,
1/11,2019,"2,046,974",,,,,
1/12,2019,"1,671,503",,,,,
1/13,2019,"2,042,237",,,,,
1/14,2019,"1,959,989",,,,,
1/15,2019,"1,674,596",,,,,
1/16,2019,"1,856,214",,,,,
1/17,2019,"2,217,324",,,,,
1/18,2019,"2,350,565",,,,,
1/19,2019,"1,665,747",,,,,
1/20,2019,"1,845,674",,,,,
1/21,2019,"2,254,626",,,,,
1/22,2019,"1,877,634",,,,,
1/23,2019,"1,837,029",,,,,
1/24,2019,"2,067,422",,,,,
1/25,2019,"2,131,407",,,,,
1/26,2019,"1,637,770",,,,,
1/27,2019,"2,084,603",,,,,
1/28,2019,"1,938,084",,,,,
1/29,2019,"1,605,701",,,,,
1/30,2019,"1,664,554",,,,,
1/31,2019,"2,014,515",,,,,
2/1,2019,"2,155,740",,,,,
2/2,2019,"1,658,417",,,,,
2/3,2019,"1,861,198",,,,,
2/4,2019,"2,079,030",,,,,
2/5,2019,"1,725,457",,,,,
2/6,2019,"1,828,932",,,,,
2/7,2019,"2,140,678",,,,,
2/8,2019,"2,214,249",,,,,
2/9,2019,"1,715,486",,,,,
2/10,2019,"2,179,046",,,,,
2/11,2019,"2,133,170",,,,,
2/12,2019,"1,695,994",,,,,
2/13,2019,"2,030,560",,,,,
2/14,2019,"2,306,090",,,,,
2/15,2019,"2,444,760",,,,,
2/16,2019,"1,923,760",,,,,
2/17,2019,"2,150,695",,,,,
2/18,2019,"2,477,521",,,,,
2/19,2019,"2,178,494",,,,,
2/20,2019,"2,023,523",,,,,
2/21,2019,"2,353,953",,,,,
2/22,2019,"2,416,293",,,,,
2/23,2019,"1,917,781",,,,,
2/24,2019,"2,274,850",,,,,
2/25,2019,"2,240,859",,,,,
2/26,2019,"1,937,469",,,,,
2/27,2019,"2,090,089",,,,,
2/28,2019,"2,381,453",,,,,
2/29,2019,null,,,,,
3/1,2019,"2,431,311",,,,,
3/2,2019,"1,954,068",,,,,
3/3,2019,"2,302,852",,,,,
3/4,2019,"2,258,980",,,,,
3/5,2019,"1,980,296",,,,,
3/6,2019,"2,148,953",,,,,
3/7,2019,"2,404,944",,,,,
3/8,2019,"2,544,987",,,,,
3/9,2019,"2,156,725",,,,,
3/10,2019,"2,486,948",,,,,
3/11,2019,"2,380,467",,,,,
3/12,2019,"2,123,988",,,,,
3/13,2019,"2,187,792",,,,,
3/14,2019,"2,505,399",,,,,
3/15,2019,"2,634,942",,,,,
3/16,2019,"2,275,192",,,,,
3/17,2019,"2,546,404",,,,,
3/18,2019,"2,466,739",,,,,
3/19,2019,"2,191,683",,,,,
3/20,2019,"2,320,885",,,,,
3/21,2019,"2,513,231",,,,,
3/22,2019,"2,559,307",,,,,
3/23,2019,"2,227,181",,,,,
3/24,2019,"2,542,643",,,,,
3/25,2019,"2,434,370",,,,,
3/26,2019,"2,151,913",,,,,
3/27,2019,"2,273,811",,,,,
3/28,2019,"2,487,162",,,,,
3/29,2019,"2,538,384",,,,,
3/30,2019,"2,172,920",,,,,
3/31,2019,"2,510,294",,,,,
4/1,2019,"2,360,053",,,,,
4/2,2019,"2,026,256",,,,,
4/3,2019,"2,151,626",,,,,
4/4,2019,"2,411,500",,,,,
4/5,2019,"2,476,884",,,,,
4/6,2019,"2,011,715",,,,,
4/7,2019,"2,462,929",,,,,
4/8,2019,"2,384,091",,,,,
4/9,2019,"2,091,056",,,,,
4/10,2019,"2,229,276",,,,,
4/11,2019,"2,487,398",,,,,
4/12,2019,"2,590,499",,,,,
4/13,2019,"2,059,142",,,,,
4/14,2019,"2,446,801",,,,,
4/15,2019,"2,484,580",,,,,
4/16,2019,"2,208,688",,,,,
4/17,2019,"2,317,381",,,,,
4/18,2019,"2,616,158",,,,,
4/19,2019,"2,457,133",,,,,
4/20,2019,"1,988,205",,,,,
4/21,2019,"2,356,802",,,,,
4/22,2019,"2,594,171",,,,,
4/23,2019,"2,227,475",,,,,
4/24,2019,"2,254,209",,,,,
4/25,2019,"2,526,961",,,,,
4/26,2019,"2,521,897",,,,,
4/27,2019,"1,990,464",,,,,
4/28,2019,"2,506,809",,,,,
4/29,2019,"2,412,770",,,,,
4/30,2019,"2,102,068",,,,,
5/1,2019,"2,256,442",,,,,
5/2,2019,"2,499,461",,,,,
5/3,2019,"2,546,029",,,,,
5/4,2019,"1,968,278",,,,,
5/5,2019,"2,512,598",,,,,
5/6,2019,"2,470,969",,,,,
5/7,2019,"2,106,597",,,,,
5/8,2019,"2,270,662",,,,,
5/9,2019,"2,555,342",,,,,
5/10,2019,"2,602,631",,,,,
5/11,2019,"1,985,942",,,,,
5/12,2019,"2,419,114",,,,,
5/13,2019,"2,512,315",,,,,
5/14,2019,"2,191,387",,,,,
5/15,2019,"2,343,675",,,,,
5/16,2019,"2,611,324",,,,,
5/17,2019,"2,664,549",,,,,
5/18,2019,"2,091,116",,,,,
5/19,2019,"2,620,276",,,,,
5/20,2019,"2,615,691",,,,,
5/21,2019,"2,312,727",,,,,
5/22,2019,"2,472,123",,,,,
5/23,2019,"2,673,635",,,,,
5/24,2019,"2,792,670",,,,,
5/25,2019,"2,124,825",,,,,
5/26,2019,"2,070,716",,,,,
5/27,2019,"2,512,237",,,,,
5/28,2019,"2,453,649",,,,,
5/29,2019,"2,269,035",,,,,
5/30,2019,"2,485,770",,,,,
5/31,2019,"2,570,613",,,,,
6/1,2019,"2,117,180",,,,,
6/2,2019,"2,555,578",,,,,
6/3,2019,"2,499,002",,,,,
6/4,2019,"2,247,421",,,,,
6/5,2019,"2,370,152",,,,,
6/6,2019,"2,623,947",,,,,
6/7,2019,"2,649,808",,,,,
